gene	degree	weighted_degree	betweenness	closeness	eigenvector	pagerank
Rv0481c	15	11190	0.00032715824912365077	0.22006673811324048	4.8052960778831765e-05	0.0006820310804384457
Rv2753c	8	7353	0.00026324666999086717	0.1956312144130664	3.7550029995630265e-05	0.0005209405789470592
Rv0916c	0	0	0.0	0.0	8.946798292203376e-41	8.533636751528944e-05
Rv0946c	19	17023	0.001346863893183188	0.23626012726599788	0.0013206977896532553	0.0008006953589637139
Rv0039c	3	2474	0.000250946170944971	0.18950349581509046	4.740485912056373e-07	0.00027420122272366564
Rv2777c	3	2549	0.00015758437777228817	0.1962869028914585	1.9130764005690416e-05	0.00030394049936029383
Rv0707	103	97391	0.0017021001831104597	0.28445774405816765	0.1201343431830415	0.0019097481545743643
Rv1219c	6	5437	0.002422588883391153	0.17074099226441852	6.6086029885932915e-06	0.0006286999068271078
Rv1229c	5	3992	0.0010085094125602781	0.21546784527849727	0.000876805907152351	0.0003308663394719875
Rv2470	0	0	0.0	0.0	8.946798292203376e-41	8.533636751528944e-05
Rv1343c	6	4554	0.001231129880539887	0.19946921099010748	9.544466036070693e-06	0.0004747652993679516
Rv2147c	13	11446	0.00025204082905139365	0.20882955479494922	8.961461992851819e-05	0.0006761153808197035
Rv0901	2	1846	0.0009648048809848879	0.1663754555303851	2.3812528832882103e-07	0.00040453780362005977
Rv0967	5	4521	0.005776497634965515	0.13209166444130177	1.4475824112692082e-09	0.0009405911361192443
Rv2157c	16	14136	0.0008569049557041671	0.22220428117580648	0.00019182711949065087	0.0007927032737127616
Rv3694c	2	1717	0.0	0.0010834236186348862	5.3730443368387735e-15	0.0005866967852894338
Rv2375	1	766	0.0	0.17938054504623732	1.2677933090174233e-05	0.00011894589035821049
Rv3569c	10	8658	0.00046681571407410625	0.1920640179282945	2.8627235774154248e-06	0.0005858679304986342
Rv3104c	2	1598	0.0	0.2023360984891361	0.0010258408155306197	0.00014057762419837327
Rv0073	1	999	0.0	0.0005417118093174431	8.946798292203374e-17	0.0005689091167685962
Rv1133c	9	7939	0.0004488368849244271	0.21130091047299596	5.718748097088647e-05	0.0005673833841022626
Rv0958	3	2588	0.0005786710020830916	0.1630768554987067	3.5777269187570133e-07	0.00032015922580322945
Rv1521	9	6866	0.0012339418070414273	0.2172583482219007	0.00028493262642016357	0.0004966291308414126
Rv3878	9	7807	3.3750333631041167e-06	0.19264526429834064	2.338043814456569e-05	0.00044783741414042923
Rv2146c	5	4287	0.00020836053488108839	0.19795889787282164	4.2177031323850794e-05	0.00035234654794668934
Rv2392	15	13593	0.001166654330397436	0.20888914376764	4.289255552876991e-05	0.0009083600606602953
Rv1584c	3	2658	0.0011271205557884596	0.1430347800573846	1.0108787986622962e-07	0.0005618673332379095
Rv0721	120	110967	0.009094337432852751	0.29405583624570975	0.12548697904750972	0.0023139794980322763
Rv3859c	81	67215	0.06796955162302672	0.28826619583921814	0.011129941417187006	0.0032696634801182302
Rv2219	5	3933	0.0001834859774517069	0.20175058683579838	6.484084177458279e-05	0.0003311396050758963
Rv3580c	8	6692	0.00028237484283704013	0.20577709187173418	0.00022294517864437843	0.00046964020522064295
Rv0240	3	2422	0.0009648048809848879	0.1778335975546446	1.3757334111094533e-05	0.0003288809113910433
Rv2827c	2	1669	0.0	0.13777209077513775	1.5469879361481058e-08	0.0003118257446922321
Rv1957	2	1969	0.0	0.10136416565130081	7.881542851626523e-13	0.0004189807532817665
Rv3906c	6	4655	0.0014878354021770196	0.21703290967497613	4.121142596316997e-05	0.00042575932574547123
Rv0145	3	2289	7.502049161297302e-05	0.15753217222588647	4.273849378558588e-08	0.00043532339701273724
Rv1464	9	8266	0.0010607225347563406	0.19570966564194478	4.308391271935166e-06	0.0006722853881650432
Rv0495c	0	0	0.0	0.0	8.946798292203376e-41	8.533636751528944e-05
Rv0002	16	13382	0.0017353351985082328	0.2391935972336855	0.0022620046317411305	0.0006432237433404592
Rv0419	5	3684	5.182549539207127e-06	0.19769160257458665	1.3723745792618518e-05	0.0002818682314794286
Rv1186c	0	0	0.0	0.0	8.946798292203376e-41	8.533636751528944e-05
Rv0352	40	33012	0.00458847533444671	0.2651401681759125	0.031425083952056045	0.0009189819718911853
Rv1809	1	936	0.0	0.0005417118093174431	5.315992668016931e-17	0.0005689091167685962
Rv2776c	17	13596	0.005094536122451883	0.2314788946509706	0.00039035853255665014	0.000907838808860241
Rv3668c	13	9795	0.0005382229574621682	0.22254202898121125	0.0008058123207556715	0.0005708134956998546
Rv3163c	4	3607	0.0	0.16898707394591284	2.549096371015422e-07	0.00041353799230844105
Rv0559c	2	1556	7.840466424896677e-06	0.16461704617353148	2.3954870622987994e-06	0.00026064602960728425
Rv2790c	39	33797	0.005977699068705417	0.23668024711726302	0.000265008944888548	0.0015756099699475456
Rv2841c	63	54688	0.0007051914755175114	0.26144714440489086	0.07319225095132104	0.0011406853901329127
Rv3882c	15	12691	0.0010534009837526522	0.20094757187309756	2.8139257844871474e-05	0.0007546162119267388
Rv1994c	3	2624	0.001928435319022746	0.15753217222588647	5.74486332714982e-07	0.000567999690532339
Rv1863c	1	782	0.0	0.0005417118093174431	1.2640426934776982e-17	0.0005689091167685962
Rv2409c	2	1987	0.0	0.15364718319523443	2.491602073365715e-08	0.00039040926038998196
Rv2620c	2	1844	0.0	0.15971462950446044	8.090068493608533e-08	0.0003017208787486336
Rv1060	0	0	0.0	0.0	8.946798292203376e-41	8.533636751528944e-05
