gene	degree	weighted_degree	betweenness	closeness	eigenvector	pagerank
Rv0019c	8	7694	0.00010126274635191154	0.2447765463053679	0.0001473121917001393	0.0003835523590594298
Rv0367c	0	0	0.0	0.0	1.4795707406838718e-50	8.257638315441785e-05
Rv1841c	4	3215	0.0	0.20788893627177804	2.8101843018946064e-05	0.0002727199878367592
Rv0587	15	13487	0.000976820178696965	0.19792113198116773	2.090985791379884e-05	0.0006031514344883362
Rv0813c	2	1483	0.0	0.21573749076490845	8.112566895817298e-06	0.0001476707651205371
Rv2366c	5	4705	2.573274615283749e-05	0.22552445839370977	0.00044672627023979315	0.0002674301885884839
Rv1710	11	9850	0.0009383984111343579	0.24945380515196733	0.0019167031642346709	0.00047195571652353455
Rv3281	9	7991	0.0004895309681890206	0.25066096530802584	0.0011569201479471084	0.0003815667016289416
Rv2500c	22	19293	0.0007550037862092853	0.24734044112187517	0.0002460818530280355	0.00082137627316389
Rv2909c	103	95375	0.0014724166739941973	0.30814318629115595	0.11512811019901227	0.001812529890697737
Rv0676c	6	5351	0.0016588950601368437	0.23318822883578472	0.0006923630107779707	0.00044790924889614504
Rv0505c	6	4597	0.0006971067428738145	0.20995477821171726	4.954482925491446e-06	0.0004037306960702992
Rv1465	13	11628	0.005019911836441036	0.23631113226831696	0.00015513117891787151	0.0007860101051672217
Rv3477	2	1746	0.0009737903924565346	0.16806930539702886	1.1262435678165977e-06	0.0003297613012472068
Rv1630	106	95366	0.011418732044704089	0.31777837794641073	0.1026712592827059	0.002110052619828409
Rv1473A	2	1685	0.0	0.21539022719828485	0.000739828381590055	0.00012545692473454472
Rv2193	32	28775	0.0016370379165736705	0.26545447904830777	0.0015950964598535169	0.0009835184443213643
Rv1830	13	10087	0.0005010646721621749	0.24226526007290491	0.001040528752243529	0.0005448213150443627
Rv2908c	17	14027	7.996432810957507e-05	0.2585723258877961	0.01660920235608693	0.0003560489896101467
Rv1249c	3	2354	7.740757299079851e-05	0.22667054542111992	6.657362983522608e-05	0.00019285234202604535
Rv1409	10	8622	0.0015647141396759757	0.2607557882044842	0.0009519239765268048	0.00043780027531340924
Rv1392	21	16817	0.0030643455862729434	0.2762791025057147	0.004138541829467877	0.000647309011174366
Rv0502	2	1694	0.0006555959619338351	0.20557344050226778	0.00026570335379940503	0.00017971935128339062
Rv3025c	11	9658	0.0029758011280773874	0.2348938185727346	6.916094679291158e-05	0.000680901289382173
Rv0909	2	1711	4.530220538615085e-05	0.18951187817339948	1.612455030612041e-06	0.00020838198981466285
Rv1860	2	1613	0.0	0.19327565524352594	4.6709396454386845e-06	0.0001797759462846829
